"engine.time","calcium.Ca_i"
 1.77116490192087895e+02, 4.56816502519771371e-04
 1.79406933875886324e+02, 4.55048060408891537e-04
 1.81697377559684753e+02, 4.53212470200536747e-04
 1.85352390484193847e+02, 4.50171867419041350e-04
 1.89007403408702942e+02, 4.47025825728731901e-04
 1.92662416333212036e+02, 4.43804802523899014e-04
 1.96317429257721130e+02, 4.40528979727049198e-04
 2.02214570506024558e+02, 4.35177431304236274e-04
 2.08111711754327985e+02, 4.29789223156831421e-04
 2.14008853002631412e+02, 4.24404415388779550e-04
 2.19905994250934839e+02, 4.19040336909892535e-04
 2.25803135499238266e+02, 4.13742139357480671e-04
 2.31700276747541693e+02, 4.08474098803265570e-04
 2.37597417995845120e+02, 4.03317110056034857e-04
 2.43494559244148547e+02, 3.98250701500295465e-04
 2.49391700492451974e+02, 3.93278913199689368e-04
 2.55288841740755402e+02, 3.88392307467334082e-04
 2.61185982989058857e+02, 3.83610962468556400e-04
 2.67083124237362313e+02, 3.78926672078425326e-04
 2.72980265485665768e+02, 3.74358734958770583e-04
 2.78877406733969224e+02, 3.69886561080903136e-04
 2.82740843536250281e+02, 3.67017441376430061e-04
 2.86604280338531339e+02, 3.64197387180298371e-04
 2.90467717140812397e+02, 3.61425272979862201e-04
 2.94331153943093454e+02, 3.58693881255409673e-04
 2.98194590745374512e+02, 3.56011849141969457e-04
 3.00835235379582173e+02, 3.54203474101641555e-04
 3.03475880013789833e+02, 3.52414742017460717e-04
 3.06116524647997494e+02, 3.50646616136201389e-04
 3.08757169282205155e+02, 3.48901990340427380e-04
 3.11397813916412815e+02, 3.47178149356685347e-04
 3.14038458550620476e+02, 3.45474505789281300e-04
 3.16679103184828136e+02, 3.43791169243448603e-04
 3.18510828085148717e+02, 3.42635883947132601e-04
 3.20342552985469297e+02, 3.41490432977768613e-04
 3.22174277885789877e+02, 3.40354657139681010e-04
 3.24006002786110457e+02, 3.39228594358941579e-04
 3.25837727686431037e+02, 3.38112145218442744e-04
 3.27669452586751618e+02, 3.37005216491683497e-04
 3.29501177487072198e+02, 3.35907786024341407e-04
 3.31332902387392778e+02, 3.34819816411733879e-04
 3.33164627287713358e+02, 3.33741235983412961e-04
 3.34996352188033939e+02, 3.32671974495311255e-04
 3.36828077088354519e+02, 3.31611970720752688e-04
 3.38659801988675099e+02, 3.30561163307637753e-04
 3.40491526888995679e+02, 3.29519487694506375e-04
 3.42323251789316259e+02, 3.28486877792513276e-04
 3.44154976689636840e+02, 3.27463266938316454e-04
 3.45354844696363841e+02, 3.26797598429538923e-04
 3.46157919540308740e+02, 3.26354196335177120e-04
 3.46960994384253638e+02, 3.25912496949497699e-04
 3.47764069228198537e+02, 3.25472494548150089e-04
 3.48567144072143435e+02, 3.25034183383999858e-04
 3.49370218916088334e+02, 3.24597557701395681e-04
 3.50173293760033232e+02, 3.24162611734272739e-04
 3.50976368603978131e+02, 3.23729339703881212e-04
 3.51779443447923029e+02, 3.23297735818654601e-04
 3.52582518291867927e+02, 3.22867794276171266e-04
 3.53474394396875084e+02, 3.22392252439848714e-04
 3.54366270501882241e+02, 3.21918745761858060e-04
 3.55258146606889397e+02, 3.21447266256181966e-04
 3.56150022711896554e+02, 3.20977805926094429e-04
 3.57041898816903711e+02, 3.20510356765608951e-04
 3.57933774921910867e+02, 3.20044910760520780e-04
 3.58825651026918024e+02, 3.19581459889776260e-04
 3.59717527131925181e+02, 3.19119996126898773e-04
 3.60609403236932337e+02, 3.18660511441027565e-04
 3.61501279341939494e+02, 3.18202997798051554e-04
 3.62393155446946650e+02, 3.17747447161803251e-04
 3.63630444712084341e+02, 3.17118702665519379e-04
 3.64867733977222031e+02, 3.16493699169424390e-04
 3.66105023242359721e+02, 3.15872415227144471e-04
 3.67342312507497411e+02, 3.15254829404168501e-04
 3.69695878191260647e+02, 3.14090176069351695e-04
 3.73527391055525356e+02, 3.12222197864413188e-04
 3.77358903919790066e+02, 3.10388444759325598e-04
 3.81190416784054776e+02, 3.08588299846848354e-04
 3.85021929648319485e+02, 3.06821137584117854e-04
 3.88853442512584195e+02, 3.05086337822362789e-04
